0,1,2,3,4,5,6,7
-7009.708226884392,-6089.162807364799,-6472.416993667722,-5997.196554803438,-28201.173627516466,-40777.583810995086,-51079.63694091284,-111467.94843291622
-7033.781055662758,-6097.622942641133,-6474.875685557805,-6000.28109553827,-28202.402973461507,-40764.865668400016,-51074.33957747693,-111459.74534270112
-7058.412678052507,-6105.2113598837095,-6481.022415283015,-5994.357883257614,-28203.34174672863,-40749.599426937035,-51077.245304256125,-111449.5529472295
-7081.300864374741,-6112.486852703912,-6488.733767120096,-6000.28109553827,-28209.175552031465,-40740.39050822145,-51078.51935369008,-111444.41204600479
-7085.3018266322415,-6122.399851369841,-6495.886325345794,-5996.905982125519,-28211.410726476995,-40725.48189466976,-51080.97804558016,-111434.97960984464
-7095.494222103861,-6131.172911068548,-6504.402339983266,-6001.353979272125,-28216.976310846367,-40714.082504997554,-51082.49796420312,-111428.2517347636
-7106.424225142507,-6139.9012672783465,-6510.213793541646,-5996.9730373588845,-28217.44569747993,-40695.709371055294,-51082.38620548084,-111415.69005437971
-7109.6652280885255,-6147.154408354094,-6517.902793634271,-5999.7893571602535,-28221.893694626535,-40682.834766249034,-51083.10146130341,-111407.37520544234
-7109.084082732687,-6155.156332869093,-6521.657886702763,-5994.737862913355,-28220.664348681494,-40661.82412646105,-51079.70399614621,-111392.35483316837
-7113.576783368205,-6161.202479744254,-6530.732694951617,-5996.838926892153,-28225.469973739386,-40647.92134140985,-51081.26861825808,-111383.52589410853
-7117.756559581347,-6173.630049661404,-6538.578157255431,-5996.637761192055,-28228.174534818478,-40628.83295164501,-51080.039272313035,-111371.16537942474
-7114.135576979587,-6181.31904975403,-6548.256462604579,-5996.391892003047,-28232.197848820433,-40610.70568689176,-51081.49213570263,-111359.60952754135
-7125.9820015409,-6200.049811607577,-6563.075669178447,-6002.963304872907,-28241.138546602553,-40593.785416339095,-51084.91195260429,-111351.07116115942
-7139.907138336556,-6205.559516615811,-6567.210741902679,-5993.910848368508,-28237.785784934258,-40564.16935493581,-51078.92168509027,-111329.61348648233
-7157.073278078232,-6221.920993557095,-6580.44297462022,-5998.6717699374885,-28244.468956526394,-40540.9682441912,-51078.45229845671,-111316.18008806469
-7176.452240520984,-6233.007458806927,-6591.909419525793,-5993.888496624052,-28246.748834460835,-40513.028563622065,-51078.74287113463,-111297.89636110025
-7209.9798572039435,-6251.168251176865,-6604.515803398586,-5997.174203058983,-28252.02384615229,-40485.46886270867,-51075.993606566626,-111280.93138705866
-7289.999102353943,-6261.740626304225,-6616.675152382273,-5990.491031466846,-28254.08020664218,-40455.495173394105,-51076.619455411375,-111260.92657577117
-7340.402286100661,-6277.532133761899,-6629.326239743977,-5993.419109990491,-28259.310514844718,-40427.4437341027,-51073.333748976445,-111242.91106974019
-7376.41094641816,-6289.635603384448,-6645.0618678405135,-5987.942932598941,-28264.049084669245,-40399.74992272257,-51077.58058042295,-111224.82850847585
-7414.7218364145565,-6302.141404407192,-6655.678946456784,-5989.351092499625,-28267.40184633754,-40371.45261424215,-51072.81965885397,-111205.36013905528
-7453.211540366596,-6308.835751871557,-6665.89369367286,-5979.158697028005,-28267.178328892987,-40341.054241782935,-51072.551437920505,-111183.63424344471
-7493.936418764165,-6317.932911864867,-6674.9461501772585,-5981.3044644957145,-28270.531090561282,-40316.869654282295,-51067.67875762925,-111166.37869672522
-7519.171538254206,-6325.230756429524,-6688.0889759169795,-5976.789412115742,-28274.77792200779,-40295.27786913847,-51071.76912686457,-111151.35832445126
-7519.037427787474,-6334.987292884266,-6697.61081905494,-5981.013891817795,-28279.56119532123,-40276.63651426274,-51068.975158807654,-111138.03668475589
-7504.441738658159,-6339.558224625376,-6708.250249415666,-5975.4930109373345,-28282.198701166955,-40257.01168263098,-51071.7020716312,-111123.75392004896
-7488.706110561623,-6346.4649136620665,-6719.2026041987665,-5982.779679629765,-28289.46301811493,-40244.85233364729,-51071.7020716312,-111115.48377460049
-7483.252284914528,-6354.880345449489,-6729.976145026225,-5980.56685692869,-28293.776904794802,-40230.27899626243,-51074.943074577226,-111105.0678616843
-7471.42821209767,-6356.154394883442,-6735.184101484311,-5983.316121496692,-28296.21324494043,-40217.024411800434,-51070.71859487517,-111094.36137609022
-7442.259185583495,-6359.328342596095,-6741.576700398529,-5980.030415061762,-28297.286128674285,-40202.227556971025,-51070.15980126379,-111083.2749108404
-7412.710179413579,-6359.808905101885,-6747.09758127899,-5983.718452896888,-28300.527131620307,-40191.90105103267,-51067.92462681826,-111075.63061423668
-7380.255446464473,-6366.715594138574,-6754.42895346033,-5984.299598252725,-28303.61167235514,-40179.74170204898,-51068.215199496175,-111067.69574495504
-7334.032038930898,-6366.704418266347,-6759.81572387406,-5988.278208765771,-28307.232654956897,-40170.66689380013,-51066.270597728566,-111061.77253267438
-7291.519020976904,-6372.504695952499,-6763.10143030899,-5987.831173876664,-28307.344413679173,-40156.987626193484,-51061.95671104869,-111052.04952383632
-7242.658107597603,-6371.543570940921,-6764.8672181209595,-5987.741766898843,-28307.009137512345,-40145.387070821176,-51057.173437735255,-111043.35469524321
-7198.066377409265,-6377.388552115984,-6770.701023423794,-5992.189764045449,-28310.65247185856,-40135.84287593876,-51055.430001667744,-111037.94557308503
-7150.971251841933,-6377.902642238456,-6773.003253102691,-5991.876839623075,-28310.518361391827,-40124.689355455565,-51052.03253651054,-111030.07775903677
-7106.983018753889,-6384.462879236088,-6778.188857816322,-5997.174203058983,-28314.161695738043,-40115.05575359533,-51049.39503066481,-111024.82509908976
-7071.466096814406,-6383.1553021854525,-6780.2452183062105,-5994.670807679989,-28313.491143404382,-40102.65053542263,-51046.48930388562,-111016.1079187522
-7034.339849274141,-6386.698053681619,-6780.982825873235,-5996.526002469779,-28312.977053281913,-40088.4124742046,-51039.560263104475,-111006.18374421404
-6997.2583052227865,-6388.5532484714095,-6789.744709699716,-5997.174203058983,-28317.872085317624,-40079.3600177002,-51044.321184673456,-111001.22165694495
-6971.933778754924,-6394.632922963253,-6795.422052791364,-6001.465737994402,-28321.47071617493,-40065.971322771475,-51042.89067302831,-110992.77269754084
-6952.107781423067,-6393.157707829203,-6800.160622615889,-5994.491993724346,-28321.113088263643,-40048.11227895168,-51044.589405606916,-110980.03220320132
-6924.056342131656,-6402.422505905927,-6802.619314505972,-5998.202383303927,-28321.31425396374,-40029.06859267576,-51035.492245613605,-110969.28101411833
-6903.202164554855,-6414.693613611891,-6812.521137299674,-5996.99538910334,-28324.823477843223,-40011.790694211806,-51037.12392295885,-110960.92146169204
-6894.149708050455,-6431.792698120201,-6818.354942602509,-6002.940953128452,-28327.103355777665,-39991.49531024639,-51028.83142576593,-110950.50554877587
-6881.789193366671,-6444.577895948636,-6825.574556061573,-5996.548354214234,-28326.142230766087,-39965.67904540051,-51025.545719331,-110935.59693522418
-6876.491829930763,-6466.940816276172,-6841.891329513947,-6002.918601383996,-28334.45707970346,-39938.05228925375,-51026.14921643129,-110922.67762692901
-6870.166286249911,-6492.824136355417,-6864.444239669352,-5992.413281490002,-28340.313236750753,-39892.23121312037,-51034.53112060203,-110897.80013535025
-6869.2945682161535,-6517.969848867637,-6879.017577054212,-5990.535734955756,-28343.554239696772,-39849.941712610926,-51030.97719323364,-110873.10145772714
-6864.377184435986,-6532.699648463684,-6888.897048103458,-5982.243237762837,-28342.816632129747,-39815.31886044966,-51027.49032109861,-110851.62143130558
-6865.427716425385,-6549.731677738629,-6900.788176153681,-5988.859354121609,-28348.762196154858,-39792.58713633861,-51023.93639373021,-110839.50678581081
-6873.899027573947,-6563.857980234383,-6910.399426269463,-5982.8243831186755,-28348.873954877134,-39763.01577842424,-51021.43299835122,-110821.53598326874
-6874.636635140972,-6575.670877179013,-6919.340124051586,-5983.51728719679,-28351.198536300486,-39736.283092055695,-51016.44855933769,-110805.5544859832
-6876.782402608682,-6591.954123014704,-6933.958164925357,-5982.153830785016,-28356.51825148085,-39710.60093767654,-51019.354286116875,-110792.03168058774
-6874.591931652061,-6608.304424083761,-6948.665612776949,-5985.193668030938,-28363.067312606254,-39684.896431552945,-51020.404818106275,-110778.86650310356
-6856.330556432075,-6624.677076897273,-6958.679194292927,-5981.080947051161,-28364.207251573476,-39655.48153584976,-51017.9908297051,-110761.07451451714
-6774.523171725652,-6630.399123477831,-6965.228255418331,-5982.5338104407565,-28365.95068764099,-39636.61666352948,-51013.29696336949,-110749.33984867811
-6643.609004450918,-6640.345649760444,-6969.296272909198,-5988.702891910421,-28368.43173127553,-39629.01707041467,-51008.13371040031,-110745.0930172316
-6585.82974503395,-6640.010373593614,-6970.480915365329,-5995.274304780281,-28369.929298154035,-39625.5525500241,-51002.25520160857,-110743.1931189529
-6484.1740112512125,-6648.0570015975245,-6971.978482243834,-6004.729092684876,-28372.455045277482,-39623.25032034521,-50995.54967827197,-110743.08136023062
-6331.15396871018,-6648.31404665876,-6971.576150843639,-6007.768929930799,-28371.985658643924,-39616.76831445316,-50989.20178284666,-110739.08039797311
-6154.530484024344,-6654.550183361791,-6970.2573979207755,-6014.452101522935,-28371.65038247709,-39609.101666104994,-50979.367015286334,-110734.49829035978
-5983.092604052139,-6657.321799674249,-6974.280711922731,-6021.1576248595275,-28375.293716823307,-39605.681849203334,-50977.824744918915,-110734.02890372621
-5836.4875121697805,-6670.8334291974825,-6976.873514279547,-6034.836892466175,-28379.697010481003,-39602.08321834603,-50971.07451809341,-110734.31947640414
-5733.669487675368,-6673.873266443404,-6976.515886368262,-6039.262537868326,-28379.51819652536,-39596.85291014348,-50964.681919179195,-110731.8831362585
-5659.037012939098,-6683.730385748195,-6972.961958999867,-6052.6735845415105,-28380.389914559117,-39594.86360488697,-50951.85201786185,-110732.06195021415
-5595.491003452659,-6685.6861633880335,-6970.525618854239,-6058.127410188605,-28379.51819652536,-39593.589555453014,-50944.45359044714,-110732.0843019586
-5549.692279063735,-6692.984007952691,-6966.3234908966415,-6074.935922018996,-28381.440446548517,-39597.36700026596,-50931.71309610762,-110736.10761596056
-5509.123862877353,-6696.0126693263865,-6963.596578073094,-6084.591875623689,-28382.602737260193,-39605.480683503236,-50926.08045650488,-110742.72373231933
-5428.7693415605245,-6703.802252269061,-6958.343918126097,-6102.786195610309,-28384.659097750082,-39612.78970394012,-50913.63053484327,-110749.36220042256
-5353.511017979506,-6704.148704308118,-6953.0912581791,-6110.251678258381,-28383.60856576068,-39618.66821273186,-50905.963886495105,-110754.72661909183
-5270.474287328039,-6713.748778551671,-6950.207883144365,-6131.955222124484,-28388.70476349649,-39631.475762304755,-50896.41969161269,-110766.32717446414
-5008.601249289662,-6711.457724745003,-6940.3731155840305,-6134.92800413704,-28383.228586104942,-39634.135619894936,-50884.23799088455,-110767.71298262036
-4920.624783113573,-6711.949463123019,-6932.639412002494,-6151.177722356048,-28383.496807038406,-39643.81392524409,-50870.58107502235,-110775.0443548017
-4963.853056890137,-6713.8605372739485,-6929.957202667857,-6160.923082938562,-28384.972022172456,-39653.40282361541,-50865.66369124218,-110783.09098280562
-5251.587063263305,-6721.750703066672,-6929.46546428984,-6181.7549087709085,-28391.56578678677,-39667.03738773315,-50859.65107198371,-110795.2503317893
-5327.67240138917,-6725.282278690611,-6923.631658987005,-6189.086280952249,-28390.38114433064,-39673.09471048054,-50851.26916781297,-110800.23477080284
-5358.830733159868,-6727.450397902776,-6919.563641496139,-6204.933667771062,-28392.90689145409,-39682.862422807506,-50841.859083397285,-110808.41550927347
-5367.704375708625,-6734.457669789514,-6917.730798450804,-6213.986124275461,-28394.136237399132,-39687.399826931935,-50835.33237401633,-110813.39994828701
-5366.58678848586,-6736.737547723955,-6914.4897955047845,-6226.883080826174,-28395.924376955558,-39692.83130083457,-50826.279917511936,-110818.42909078946
